Subject,Timestamp,Age,"Occupation (ex. student, accountant, engineer)",How much time you spend outdoors?,Ad 1,Ad 2,Ad 3 ,Ad 4,Ad 5,Ad 6,Ad 7,Ad 8,Ad 9,Ad 10,Ad 11,Ad 12,Ad 13,Ad 14,Ad 15,Ad 16,Ad 17,Ad 18,Ad 19,Ad 20,Ad 21,Ad 22,Ad 23,Ad 24,Ad 25,Ad 26,Ad 27,Ad 28 ,Ad 29,Ad 30,Ad 31,Ad 32,Ad 33,Ad 34,Ad 35,Ad 36,Ad 37,Ad 38,Ad 39,Ad 40,Ad 41,Ad 42,Ad 43,Ad 44,Ad 45,Ad 46,Ad 47,Ad 48,Ad 49,Ad 50,Ad 51,Ad 52,Ad 53,Ad 54,Ad 55,Ad 56
92,12/7/2022 21:31,64,Retired engineer,7+ hours a week,1,8,2,2,5,9,3,2,5,3,6,5,1,4,8,1,6,4,6,5,2,6,2,5,2,6,1,4,2,5,1,2,8,6,1,5,2,1,5,4,6,2,5,2,5,1,9,2,4,2,5,2,4,2,9,2
93,12/7/2022 21:31,33,Self employed,7+ hours a week,5,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,5,2,2,4,3,4,3,3,3,3,3,7,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
94,12/7/2022 21:35,24,Student,3-4 hours a week,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
95,12/7/2022 21:40,23,Student,7+ hours a week,1,8,1,9,9,8,8,2,9,2,6,9,5,2,2,3,9,4,2,3,2,3,3,2,2,2,4,1,2,4,4,2,7,2,3,3,3,3,2,2,3,1,3,3,3,4,1,3,2,3,3,5,2,3,3,5
96,12/7/2022 22:10,55,Engineer,1-2 hours a week,5,5,6,8,7,8,6,4,7,6,4,6,9,5,8,5,5,5,5,8,5,5,5,7,7,7,4,4,5,6,7,7,8,4,4,4,5,8,4,5,4,3,4,3,6,7,2,6,3,6,3,6,6,5,6,9
97,12/7/2022 22:19,24,Student,7+ hours a week,1,1,2,2,1,3,1,1,1,1,1,1,5,1,1,1,2,1,1,1,1,1,1,1,3,1,1,3,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
98,12/7/2022 22:26,18,Student,3-4 hours a week,3,6,5,4,3,5,5,4,4,6,7,4,2,5,7,5,8,8,8,8,8,4,8,5,6,6,2,2,6,5,9,8,8,4,5,5,3,3,3,4,2,1,2,3,4,5,1,3,3,6,4,3,5,5,4,3
99,12/7/2022 22:29,22,Admin,1-2 hours a week,3,1,6,1,1,4,2,2,2,2,3,3,1,2,4,2,4,2,1,6,6,1,5,1,1,1,1,1,1,1,5,4,5,1,2,2,1,1,1,1,1,1,1,1,1,4,1,1,1,6,1,4,1,1,1,1
100,12/7/2022 22:55,22,Student ,5-6 hours a week,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,4,3,6,2,4,4,3,5,2,2,2,2,4,4,3,4,3,2,1,1,1,1,1,1,1,1,1,1,1
101,12/7/2022 23:08,22,Student,3-4 hours a week,1,8,5,7,5,4,7,2,3,4,4,3,1,5,8,5,6,3,4,3,5,3,5,3,6,6,3,1,8,7,8,6,5,3,3,2,2,2,2,2,1,1,4,4,5,5,1,3,3,5,4,6,6,4,3,2
102,12/7/2022 23:16,21,Student,7+ hours a week,1,8,3,1,1,4,9,1,1,1,1,1,1,1,9,1,1,1,1,2,1,1,1,1,1,2,1,2,1,4,4,2,2,8,5,2,3,1,1,2,7,1,1,1,6,9,1,1,1,10,3,3,2,7,2,1
103,12/7/2022 23:29,20,student,5-6 hours a week,1,3,2,1,2,2,1,1,2,2,2,2,4,2,1,1,2,1,1,3,1,1,1,1,1,2,1,1,2,1,2,2,3,1,2,1,1,1,1,1,1,3,1,1,2,2,1,1,1,2,1,1,2,1,1,3
104,12/8/2022 0:00,22,Artist,3-4 hours a week,1,3,1,1,1,1,2,1,1,2,3,2,1,2,2,1,3,3,1,1,2,1,2,1,1,2,1,1,3,2,4,2,2,2,1,1,3,1,1,1,2,1,1,1,2,3,1,1,1,2,1,2,2,1,1,1
105,12/8/2022 0:10,25,Student,3-4 hours a week,1,3,8,9,6,7,9,6,7,5,9,3,10,3,10,7,9,2,9,9,9,8,4,9,7,8,1,1,6,10,2,10,10,10,7,6,5,7,9,10,8,9,3,5,9,8,2,7,7,8,9,6,2,8,2,1
106,12/8/2022 2:36,24,Student ,1-2 hours a week,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,12/8/2022 4:30,24,Counselor ,7+ hours a week,1,7,6,7,8,2,2,2,1,8,8,2,1,1,1,1,7,1,1,1,1,1,6,2,6,6,1,1,1,6,6,6,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,12/8/2022 4:43,59,Scientist ,5-6 hours a week,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1
109,12/8/2022 9:41,24,Engineer,5-6 hours a week,3,5,6,7,2,2,9,4,8,9,9,6,8,6,6,3,5,7,5,7,8,9,7,6,7,6,5,7,5,7,7,7,7,7,7,4,4,6,6,5,5,5,6,6,6,7,4,6,6,6,7,6,6,7,7,7
